player,rating,games_played,win_prob_vs_avg,elo_equivalent
Gerard le Louet,0.055406072880469934,2,0.5138479758203616,1509.625020686367
Mark Bryan,0.05539037653519974,4,0.5138440547432239,1509.6222939519123
Matthew Golding,0.05517238249550936,42,0.5137895978494398,1509.584424508502
Ian Cullingworth,0.05510186153909258,12,0.5137719810029833,1509.57217376361
Ben Quenby,0.055063687899902306,121,0.5137624448284707,1509.5655423232681
Rick Fortin,0.05488965627682932,4,0.5137189697811251,1509.5353099338372
Gerwin Spanjers,0.054772472692980446,2,0.5136896958932723,1509.5149530603032
Phil Daniels,0.05469970707389331,5,0.5136715181072435,1509.5023123775663
Scott Walton,0.054540216161317656,3,0.5136316751028186,1509.4746059682684
Jyhan Artut+Max Hopp,0.05453786944527661,4,0.5136310888598624,1509.4741983019373
Luke Cottrell,0.05450779960580035,60,0.513623576984089,1509.468974635795
James Hadjar,0.05449202132227279,23,0.5136196353408385,1509.466233667207
Ivan Townes,0.054355453799512385,6,0.5135855187292644,1509.4425094585902
Bernie Ijpelaar,0.054104502946325184,4,0.5135228271196375,1509.3989148302828
Lee Stanley,0.05406122171195411,2,0.5135120147194212,1509.39139610978
Dean Winstanley,0.05405848798009848,542,0.5135113317855419,1509.390921211916
Henk Spies,0.0540088049822407,2,0.5134989200976819,1509.3822903911905
Jacky Chevel,0.05396801592435052,2,0.5134887302602167,1509.375204606085
Kevin Liebkemann,0.05396133154079277,4,0.5134870603803725,1509.3740434097272
Derek Hanley,0.053901382363209044,4,0.5134720839786754,1509.3636291709195
Sally Evans,0.053860117960278564,2,0.5134617753615807,1509.356460809923
Joost Van Den Berg,0.05379515839672384,2,0.5134455472284395,1509.3451761779233
Peter McGuinness Jnr,0.0537702745131574,2,0.513439330754045,1509.340853404595
Ross O Brian,0.05371334940476588,5,0.5134251097476347,1509.3309645004124
Philip Carson,0.05368968865008224,5,0.5134191988215487,1509.3268542063338
Adam Bernard,0.053667755539826556,4,0.5134137194919749,1509.3230440348318
Rob van Toor,0.05359060231190964,2,0.5133944450470739,1509.3096411463737
Chris Allum,0.053582682949731425,2,0.5133924666271414,1509.3082654122559
Nick Adamson,0.0534837638690505,5,0.5133677545661981,1509.291081407898
Sebastian Henkel,0.05339543760820225,2,0.5133456887585724,1509.2757375648207
Paul Sefton,0.053376411199469474,2,0.5133409355439268,1509.2724323390914
Joseph Byrne,0.05336591798749051,2,0.5133383141081528,1509.2706094814675
Stephen Holland,0.053320363409993,5,0.5133269335615087,1509.2626958408143
Martin Kersbeeck,0.053313204364559455,11,0.5133251450714773,1509.2614521872433
David O Brian,0.053285133128985585,2,0.5133181322442755,1509.2565757141595
Willi Zimmermann,0.053132490679649036,5,0.5132799986290882,1509.230059004779
Carl Moorhouse,0.05310257011252524,8,0.51327252376108,1509.2248612699002
Chris Salinas,0.05308485172081865,2,0.5132680972833825,1509.2217832700017
Peter Allen,0.05308260201697813,137,0.5132675352534488,1509.221392456416
Gary Reed,0.052895535656971124,4,0.5132208014764165,1509.1888957012557
Jai Monaghan,0.0528528800239786,7,0.5132101450179211,1509.1814856588435
Keith Sheppard,0.05283345928233915,19,0.51320529322034,1509.178111930472
Mick Savvery,0.05278127459426514,60,0.5131922561392943,1509.1690465216438
Jakub Bronski,0.05276138657067825,18,0.5131872875933187,1509.165591618084
Gerry Rattigan,0.05271370040179007,2,0.5131753743364492,1509.1573076820794
